phase,control,rounds,job_id,bit_index,trials,ones,one_probability,ideal_probability,exact_p,ci_lower,ci_upper,within_job_bh_q,global_bh_q
calibration,feistel_null,16,bit_a044_d044_off+000,13,160000,80221,0.50138125,0.5,0.2702443047343002,0.49892817292925784,0.5038342770146479,0.8861870817400185,0.5948627860015552
calibration,feistel_null,16,bit_a044_d044_off+000,14,160000,80692,0.504325,0.5,0.0005451723270021576,0.5018719518969195,0.5067778913663422,0.06468810271983531,0.0024055865965967077
calibration,feistel_null,16,bit_a044_d044_off+000,15,160000,79929,0.49955625,0.5,0.7244634390245966,0.49710319761466376,0.5020093184667057,0.9960987356685801,0.9165438121586199
calibration,feistel_null,16,bit_a044_d044_off+000,16,160000,79914,0.4994625,0.5,0.6690153176368795,0.49700944976414657,0.5019155697146954,0.9960987356685801,0.8920978625664092
calibration,feistel_null,16,bit_a044_d044_off+000,17,160000,80370,0.5023125,0.5,0.06467437188290197,0.49985942290973545,0.5047654932859429,0.8723583869215144,0.22016807449498543
calibration,feistel_null,16,bit_a044_d044_off+000,18,160000,80081,0.50050625,0.5,0.6873162176250516,0.49805318069173116,0.5029593009619177,0.9960987356685801,0.9005525123876816
calibration,feistel_null,16,bit_a044_d044_off+000,19,160000,79982,0.4998875,0.5,0.9302741213785515,0.4974344407096298,0.5023405633673371,1.0,0.9817252150034043
calibration,feistel_null,16,bit_a044_d044_off+000,20,160000,80359,0.50224375,0.5,0.07305257851929878,0.49979067262062504,0.5046967460665333,0.8723583869215144,0.2430865697695904
calibration,feistel_null,16,bit_a044_d044_off+000,21,160000,80629,0.50393125,0.5,0.0016750340124398414,0.5014781931022088,0.5063841644304397,0.0714681178640999,0.00724339032406418
calibration,feistel_null,16,bit_a044_d044_off+000,22,160000,80127,0.50079375,0.5,0.5270603375639099,0.49834067731358767,0.5032467939211456,0.8963681223944828,0.8176595076236397
calibration,feistel_null,16,bit_a044_d044_off+000,23,160000,79894,0.4993375,0.5,0.5978465540994344,0.49688445276410376,0.5017905712447015,0.9440894543018159,0.8558176207798056
calibration,feistel_null,16,bit_a044_d044_off+000,24,160000,80056,0.50035,0.5,0.7813963082374673,0.49789693286741393,0.5028030544486891,1.0,0.9388491312990846
calibration,feistel_null,16,bit_a044_d044_off+000,25,160000,80184,0.50115,0.5,0.3588807325174755,0.49869692425133966,0.5036030340729982,0.8861870817400185,0.6884486138963937
calibration,feistel_null,16,bit_a044_d044_off+000,26,160000,79772,0.498575,0.5,0.25532925184466626,0.4961219743796673,0.5010280772619139,0.8861870817400185,0.5751367221490062
calibration,feistel_null,16,bit_a044_d044_off+000,27,160000,80147,0.50091875,0.5,0.46386355059829093,0.4984656760974781,0.503371790607292,0.8861870817400185,0.7752088061353224
calibration,feistel_null,16,bit_a044_d044_off+000,28,160000,80031,0.50019375,0.5,0.8787926516218909,0.4977406852823463,0.5026468076962106,1.0,0.9667852119261026
calibration,feistel_null,16,bit_a044_d044_off+000,29,160000,80239,0.50149375,0.5,0.2330651480235872,0.49904067247557066,0.5039467733913681,0.8861870817400185,0.5467136031830023
