phase,control,rounds,job_id,byte_index,trials,nonzero,nonzero_probability,ideal_probability,exact_p,ci_lower,ci_upper,within_job_bh_q,global_bh_q
calibration,feistel_null,16,value_b00_a0F_dF0,8,160000,159393,0.99620625,0.99609375,0.4830695928250653,0.9958927196753679,0.9965015826078262,0.968026463428358,0.7473760017922042
calibration,feistel_null,16,value_b00_a0F_dF0,9,160000,159386,0.9961625,0.99609375,0.6738967836523793,0.9958472463779195,0.9964595589002986,0.968026463428358,0.8591512779631927
calibration,feistel_null,16,value_b00_a0F_dF0,10,160000,159360,0.996,0.99609375,0.5476687068590793,0.9956784309405377,0.9963033852592592,0.968026463428358,0.7870688002765212
calibration,feistel_null,16,value_b00_a0F_dF0,11,160000,159371,0.99606875,0.99609375,0.8726175464058323,0.9957498367239649,0.9963694748930294,0.968026463428358,0.9530294022179738
calibration,feistel_null,16,value_b00_a0F_dF0,12,160000,159383,0.99614375,0.99609375,0.7637410283656014,0.9958277608624917,0.9964415456919983,0.968026463428358,0.9057336469808245
calibration,feistel_null,16,value_b00_a0F_dF0,13,160000,159357,0.99598125,0.99609375,0.47059649279436977,0.9956589606494335,0.996285356790942,0.968026463428358,0.7363857099960799
calibration,feistel_null,16,value_b00_a0F_dF0,14,160000,159373,0.99608125,0.99609375,0.9361042439484883,0.9957628221095461,0.9963814886683475,0.968026463428358,0.9810699499896821
calibration,feistel_null,16,value_b00_a0F_dF0,15,160000,159383,0.99614375,0.99609375,0.7637410283656014,0.9958277608624917,0.9964415456919983,0.968026463428358,0.9057336469808245
calibration,hespn,4,bit_a019_d019_off+000,0,159998,0,0.0,0.99609375,0.0,0.0,2.305551900295849e-05,0.0,0.0
calibration,hespn,4,bit_a019_d019_off+000,1,159998,77056,0.48160602007525094,0.99609375,0.0,0.47915493500789186,0.4840577717441363,0.0,0.0
calibration,hespn,4,bit_a019_d019_off+000,2,159998,159345,0.9959186989837373,0.99609375,0.2617168607914061,0.9955940168067483,0.9962252024831607,0.2617168607914061,0.5334442590279513
calibration,hespn,4,bit_a019_d019_off+000,3,159998,137123,0.8570294628682859,0.99609375,0.0,0.8553046806159809,0.8587412969638327,0.0,0.0
calibration,hespn,4,bit_a019_d019_off+000,4,159998,74947,0.46842460530756636,0.99609375,0.0,0.46597699078784965,0.4708733641284818,0.0,0.0
calibration,hespn,4,bit_a019_d019_off+000,5,159998,102787,0.6424267803347542,0.99609375,0.0,0.6400726207190315,0.6447757780047702,0.0,0.0
calibration,hespn,4,bit_a019_d019_off+000,6,159998,130358,0.8147476843460544,0.99609375,0.0,0.8128352253880389,0.816648731274007,0.0,0.0
calibration,hespn,4,bit_a019_d019_off+000,7,159998,120106,0.7506718833985425,0.99609375,0.0,0.748544395819299,0.7527902842012781,0.0,0.0
calibration,hespn,4,bit_a019_d019_off+000,8,159998,65854,0.41159264490806136,0.99609375,0.0,0.4091797709002072,0.41400872289911395,0.0,0.0
